VIN,Year,Make,Model,Trim,Exterior Color,Interior Color,Odometer,MSRP,Stock Number,Fuel Economy
1FMUK7DH1SGC96902,2025,Ford,Explorer,Active,Space White Metallic,Dark Gray/Onyx,0,"$42,145",SGC96902,20/29
1FMUK7DH0SGD00650,2025,Ford,Explorer,Active,Space White Metallic,Ultra Dark Space Gray,0,"$42,145",,20/29
1FMUK8DH6SGC66333,2025,Ford,Explorer,Active,Carbonized Gray,Dark Space,0,"$44,145",SGC66333,20/27
1FMUK8DH1SGC55031,2025,Ford,Explorer,Active,,,0,"$44,940",SGC55031,20/27
1FMUK8KH4SGC83554,2025,Ford,Explorer,ST-Line,Carbonized Gray Metallic,Onyx,0,"$51,580",,20/27
1FMUK8KH6SGC96709,2025,Ford,Explorer,ST-Line,Star White Tri-Coat,Onyx,0,"$52,375",SGC96709,20/27
1FMWK8GC9SGC62527,2025,Ford,Explorer,ST,Carbonized Gra,Onyx,0,"$61,860",SGC62527,18/25
1FMWK8GC4SGC92728,2025,Ford,Explorer,ST,Carbonized Gray Metallic,Onyx,0,"$61,860",,18/25
1FMWK8GC5SGC91572,2025,Ford,Explorer,ST,Agate Black Metallic,Onyx,0,"$61,860",,18/25
1FMWK8GC0SGC93181,2025,Ford,Explorer,ST,Vapor Blue Metallic,Onyx,0,"$62,355",,18/25
1FMWK8GC5SGD01680,2025,Ford,Explorer,ST,Rapid Red Metallic Tinted Clearcoat,Onyx,0,"$62,355",,18/25
1FMWK8GC3SGC67982,2025,Ford,Explorer,ST,Star White Tri-Coat,Onyx,0,"$62,655",SGC67982,18/25
1FMWK8GC3SGC84605,2025,Ford,Explorer,ST,Star White Tri-Coat,Onyx,0,"$62,655",SGC84605,18/25
1FMCU9PZXRUA50819,2024,Ford,Escape,ST-Line Elite,Star White Tri-Coat,Red / Ebony,0,"$42,100",240613,
1FMCU9JA9RUB52745,2024,Ford,Escape,Platinum,Star White Tri-Coat,Ebony,0,"$42,960",RUB52745,
1FMCU0E17RUA14269,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240594,
1FMCU0E15RUA19423,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240436,
1FMCU0E12RUA18553,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240431,
1FMCU0E14RUA53305,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240615,
1FMCU0E18RUA50634,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240619,
1FMCU0E15RUA50610,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240477,
1FMCU0E16RUA49014,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240476,
1FMCU0E14RUA18487,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240408,
1FMCU0E1XRUA07297,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240262,
1FMCU0E17RUA07306,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240261,
1FMCU0E14RUA18182,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240270,
1FMCU0E16RUA18975,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240271,
1FMCU0E17RUA07323,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony,0,"$42,990",240276,
1FMCU0E17RUA07824,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240207,
1FMCU0E18RUA07279,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240212,
1FMCU0E15RUA00404,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240220,
1FMCU0E15RUA07708,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240217,
1FMCU0E16RUA07667,2024,Ford,Escape,Base,Star White Tri-Coat,Ebony Black,0,"$42,990",240238,
1FMCU0GN6SUB66257,2025,Ford,Escape,Active,Oxford White,Ebony Black,0,"$31,850",,27/34
1FMCU0MZ5SUB69772,2025,Ford,Escape,ST-Line,Star White Tri-Coat,Ebony,0,"$33,345",SUB69772,
1FMCU0MZ5SUB65379,2025,Ford,Escape,ST-Line,Vapor Blue,Ebony,0,"$35,475",SUB65379,
1FMCU0MZ5SUB28011,2025,Ford,Escape,ST-Line,Star White Tri-Coat,Ebony,0,"$37,465",SUB28011,
1FMCU0MZ0SUA55551,2025,Ford,Escape,ST-Line,Star White Tri-Coat,Ebony,0,"$38,400",SUA55551,
3FMCR9C62RRE51592,2024,Ford,Bronco Sport,Outer Banks,Shadow Black,Ebony/Roast,0,"$37,710",240354,25/29
2FMPK4G92RBA83443,2024,Ford,Edge,SE,Carbonized Gray,Ebony,0,"$41,520",240256,21/28
2FMPK4G90RBA86986,2024,Ford,Edge,SE,Agate Black,Ebony,0,"$41,520",240366,21/28
1FTER4HH2RLE26734,2024,Ford,Ranger,XLT,Azure Gray Metallic Tri-Coat,Ebony,0,"$47,020",240883,20/24
1FTBR1Y89RKB45960,2024,Ford,Transit-250 Cargo,Base,Oxford White,Dark Palazzo Gray,0,"$51,135",241142,
1FTBR1X80RKB35822,2024,Ford,Transit-250 Cargo,Base,Oxford White,Dark Palazzo Gray,0,"$56,705",RKB35822,
1FDWE3FN5RDD31092,2024,Ford,E-350 Cutaway,Base,Oxford White,Medium Flint,0,"$72,882",240102UP,
1FMEE9BP9RLA04724,2024,Ford,Bronco,Badlands,Hot Pepper Red Metallic Tinted Clearcoat,Black Onyx,0,"$67,790",240302,16/17
1FDRF3EN3REF19941,2024,Ford,F-350 Chassis,XL,Oxford White,Medium Dark Slate,0,"$68,150",REF19941,
1FDUF5GT5RDA02356,2024,Ford,F-550 Chassis,XL,Oxford White,Medium Dark Slate,0,"$69,156",240144UP,
1FDUF5GT7RDA02326,2024,Ford,F-550 Chassis,XL,Oxford White,Medium Dark Slate,0,"$69,165",240161UP,
1FDBF6P86RKB23241,2024,Ford,Transit-350 Cutaway,Base,Oxford White,Gray,0,"$78,652",RKB23241,
1FDUF4GT6RDA03607,2024,Ford,F-450 Chassis,XL,Oxford White,Medium Dark Slate,0,"$78,629",240279UP,
1FDUF5GT9REC03607,2024,Ford,F-550 Chassis,XL,Oxford White,Medium Dark Slate,0,"$82,785",240143UP,
1FDUF5GT3RDA02355,2024,Ford,F-550 Chassis,XL,Oxford White,Medium Dark Slate,0,"$82,735",240131UP,
1FDBF6P86RKA21695,2024,Ford,Transit-350 Cutaway,Base,Oxford White,Gray,0,"$90,162",240710UP,
1FDUF5HT2RDA10901,2024,Ford,F-550 Chassis,XL,Oxford White,Medium Dark Slate,0,"$85,271",240650UP,
1FDUF5HT3RDA28288,2024,Ford,F-550 Chassis,XL,Oxford White,Medium Dark Slate,0,"$85,940",241180UP,
