VIN,Stock Number,Price,Year,Make,Model,Trim,Driveline,Body,Wheelbase,Engine,Transmission,Exterior Color,Interior Color,Seating,Equipment Group
1FT7W2BN9SEC79391,SEC79391,"$62,470",,Ford,,XLT,,,,,,,,,
1FT8X2BT4SEE12526,SEE12526,"$66,150",,Ford,,XL,,,,,,,,,
1FT8W2BT0SEC76060,SEC76060,"$73,580",,Ford,,XLT,,,,,,,,,
1FT8W2BT4SEC77647,SEC77647,"$73,580",,Ford,,XLT,,,,,,,,,
1FT8W2BTXSEC77183,SEC77183,"$73,580",,Ford,,XLT,,,,,,,,,
1FT8W2BT4SEC65403,SEC65403,"$73,985",,Ford,,XL,,,,,,,,,
1FT8W2BT5SED34664,SED34664,"$82,690",,Ford,,Lariat,,,,,,,,,
1FT8W2BT7SEC64486,SEC64486,"$87,655",,Ford,,Lariat,,,,,,,,,
1FT8W2BT8SEC28936,SEC28936,"$88,430",,Ford,,Lariat,,,,,,,,,
1FT8W2BT3SEC82208,SEC82208,"$89,380",,Ford,,Lariat,,,,,,,,,
1FT8W2BT3SEC08318,SEC08318,"$90,125",,Ford,,Lariat,,,,,,,,,
1FT8W2BM4SEC37125,SEC37125,"$92,310",,Ford,,Lariat,,,,,,,,,
1FT8W2BT2SED96927,SED96927,"$92,805",,Ford,,Lariat,,,,,,,,,
1FT8W2BM0SED03170,SED03170,"$93,295",,Ford,,Lariat,,,,,,,,,
1FT8W2BM7SED83423,SED83423,"$95,340",,Ford,,Lariat,,,,,,,,,
1FT7X2AA6TEC63775,TEC63775,"$51,690",,Ford,,XL,,,,,,,,,
1FDBF2AA3TEC24215,TEC24215,"$59,066",,Ford,,XL,,,,,,,,,
1FT8W2BT5TEC15479,TEC15479,"$84,470",,Ford,,Lariat,,,,,,,,,
1FT8W2BT6TEC05057,TEC05057,"$88,035",,Ford,,Lariat,,,,,,,,,
1FT8W2BT3TEC67886,TEC67886,"$93,265",,Ford,,Lariat,,,,,,,,,
1FT8W2BTXTEC04428,TEC04428,"$93,325",,Ford,,Lariat,,,,,,,,,
1FT8W2BM6TEC13779,TEC13779,"$97,400",,Ford,,Lariat,,,,,,,,,
1FT8W2BM3TEC13447,TEC13447,"$99,445",,Ford,,Platinum,,,,,,,,,
1FT8W2BM2TEC16484,TEC16484,"$99,530",,Ford,,Lariat,,,,,,,,,
1FT8W2BM1TEC35544,TEC35544,"$100,080",,Ford,,King Ranch,,,,,,,,,
1FT8W2BM4TEC04482,TEC04482,"$100,660",,Ford,,Platinum,,,,,,,,,
1FT8W2BM6TEC11711,TEC11711,"$103,340",,Ford,,Platinum,,,,,,,,,
1FMUK7DH1SGC96902,SGC96902,"$42,145",,Ford,,Active,,,,,,,,,
1FMUK7DH0SGD00650,,"$42,145",,Ford,,Active,,,,,,,,,
1FMUK8DH6SGC66333,SGC66333,"$44,145",,Ford,,Active,,,,,,,,,
1FMUK7DH7SGC83815,,"$46,160",,Ford,,Active,,,,,,,,,
1FMUK8KH4SGC83554,SGC83554,"$51,580",,Ford,,ST-Line,,,,,,,,,
1FMWK8GC4SGC92728,SGC92728,"$61,860",,Ford,,ST,,,,,,,,,
1FMWK8GC9SGC62527,SGC62527,"$61,860",,Ford,,ST,,,,,,,,,
1FMWK8GC5SGC91572,,"$61,860",,Ford,,ST,,,,,,,,,
1FMWK8GC5SGD01680,SGD01680,"$62,355",,Ford,,ST,,,,,,,,,
1FMWK8GC0SGC93181,,"$62,355",,Ford,,ST,,,,,,,,,
1FMWK8GC3SGC67982,SGC67982,"$62,655",,Ford,,ST,,,,,,,,,
1FMWK8GC3SGC84605,SGC84605,"$62,655",,Ford,,ST,,,,,,,,,
1FMCU9PZXRUA50819,240613,"$42,100",,Ford,,ST-Line Elite,,,,,,,,,
1FMCU9JA9RUB52745,RUB52745,"$42,960",,Ford,,Platinum,,,,,,,,,
1FMCU0E17RUA14269,240594,"$42,990",,Ford,,Base,,,,,,,,,
1FMCU0E12RUA18553,240431,"$42,990",,Ford,,Base,,,,,,,,,
1FMCU0E14RUA53305,240615,"$42,990",,Ford,,Base,,,,,,,,,
1FMCU0E18RUA50634,240619,"$42,990",,Ford,,Base,,,,,,,,,
1FMCU0E15RUA50610,240477,"$42,990",,Ford,,Base,,,,,,,,,
1FMCU0E16RUA49014,240476,"$42,990",,Ford,,Base,,,,,,,,,
1FMCU0E1XRUA07297,240262,"$42,990",,Ford,,Base,,,,,,,,,
1FMCU0E17RUA07306,240261,"$42,990",,Ford,,Base,,,,,,,,,
1FMCU0E16RUA18975,240271,"$42,990",,Ford,,Base,,,,,,,,,
1FMCU0E17RUA07323,240276,"$42,990",,Ford,,Base,,,,,,,,,
1FMCU0E18RUA07279,240212,"$42,990",,Ford,,Base,,,,,,,,,
1FMCU0E15RUA07708,240217,"$42,990",,Ford,,Base,,,,,,,,,
1FMCU0GN6SUB66257,SUB66257,"$31,850",,Ford,,Active,,,,,,,,,
1FMCU0MZ5SUB69772,SUB69772,"$33,345",,Ford,,ST-Line,,,,,,,,,
1FMCU0MZ5SUB65379,SUB65379,"$35,475",,Ford,,ST-Line,,,,,,,,,
